adverbs,verbs,adjectives,nouns
appropriately,actualize,24/7,action items
assertively,administrate,24/365,alignments
authoritatively,aggregate,accurate,applications
collaboratively,architect,adaptive,architectures
compellingly,benchmark,alternative,bandwidth
competently,brand,an expanded array of,benefits
completely,build,B2B,best practices
continually,cloudify,B2C,catalysts for change
conveniently,communicate,backend,channels
credibly,conceptualize,backward-compatible,clouds
distinctively,coordinate,best-of-breed,collaboration and idea-sharing
dramatically,create,bleeding-edge,communities
dynamically,cultivate,bricks-and-clicks,content
efficiently,customize,business,convergence
energistically,deliver,clicks-and-mortar,core competencies
enthusiastically,deploy,client-based,customer service
fungibly,develop,client-centered,data
globally,dinintermediate disseminate,client-centric,deliverables
holisticly,drive,client-focused,e-business
interactively,embrace,cloud-based,e-commerce
intrinsically,e-enable,cloud-centric,e-markets
monotonectally,empower,cloudified,e-tailers
objectively,enable,collaborative,e-services
phosfluorescently,engage,compelling,experiences
proactively,engineer,competitive,expertise
professionally,enhance,cooperative,functionalities
progressively,envisioneer,corporate,fungibility
quickly,evisculate,cost effective,growth strategies
rapidiously,evolve,covalent,human capital
seamlessly,expedite,cross functional,ideas
synergistically,exploit,cross-media,imperatives
uniquely,extend,cross-platform,infomediaries
,fabricate,cross-unit,information
,facilitate,customer directed,infrastructures
,fashion,customized,initiatives
,formulate,cutting-edge,innovation
,foster,distinctive,intellectual capital
,generate,distributed,interfaces
,grow,diverse,internal or 
,harness,dynamic,leadership
,impact,e-business,leadership skills
,implement,economically sound,manufactured products
,incentivize,effective,markets
,incubate,efficient,materials
,initiate,elastic,meta-services
,innovate,emerging,methodologies
,integrate,empowered,methods of empowerment
,iterate,enabled,metrics
,leverage existing,end-to-end,mindshare
,leverage other's,enterprise,models
,maintain,enterprise-wide,networks
,matrix,equity invested,niches
,maximize,error-free,niche markets
,mesh,ethical,nosql
,monetize,excellent,opportunities
,morph,exceptional,outside the box
,myocardinate,extensible,outsourcing
,negotiate,extensive,paradigms
,network,flexible,partnerships
,optimize,focused,platforms
,orchestrate,frictionless,portals
,parallel task,front-end,potentialities
,plagiarize,fully researched,rocess improvements
,pontificate,fully tested,processes
,predominate,functional,products
,procrastinate,functionalized,quality vectors
,productivate,fungible,relationships
,productize,future-proof,resources
,promote,global,results
,provide access to,go forward,ROI
,pursue,goal-oriented,scenarios
,recaptiualize,granular,schemas
,reconceptualize,high standards in,services
,redefine,high-payoff,solutions
,re-engineer,hyperscale,sources
,reintermediate,high-quality,strategic theme areas
,reinvent,highly efficient,storage
,repurpose,holistic,supply chains
,restore,impactful,synergy
,revolutionize,inexpensive,systems
,right-shore,innovative,technologies
,scale,installed base,technology
,seize,integrated,testing procedures
,simplify,interactive,total linkage
,strategize,interdependent,users
,streamline,intermandated,value
,supply,interoperable,vortals
,syndicate,intuitive,web-readiness
,synergize,just in time,web services
,synthesize,leading-edge,virtualization
,target,leveraged,
,transform,long-term high-impact,
,transition,low-risk high-yield,
,underwhelm,magnetic,
,unleash,maintainable,
,utilize,market positioning,
,visualize,market-driven,
,whiteboard,mission-critical,
,,multidisciplinary,
,,multifunctional,
,,multimedia based,
,,next-generation,
,,on-demand,
,,one-to-one,
,,open-source,
,,optimal,
,,orthogonal,
,,out-of-the-box,
,,pandemic,
,,parallel,
,,performance based,
,,plug-and-play,
,,premier,
,,premium,
,,principle-centered,
,,proactive,
,,process-centric,
,,professional,
,,progressive,
,,prospective,
,,quality,
,,real-time,
,,reliable,
,,resource-sucking,
,,resource-maximizing,
,,resource-leveling,
,,revolutionary,
,,robust,
,,scalable,
,,seamless,
,,stand-alone,
,,standardized,
,,standards compliant,
,,state of the art,
,,sticky,
,,strategic,
,,superior,
,,sustainable,
,,synergistic,
,,tactical,
,,team building,
,,team driven,
,,technically sound,
,,timely,
,,top-line,
,,transparent,
,,turnkey,
,,ubiquitous,
,,unique,
,,user-centric,
,,user friendly,
,,value-added,
,,vertical,
,,viral,
,,virtual,
,,visionary,
,,web-enabled,
,,wireless,
,,world-class,
,,worldwide,
